Walk,Grade,Length,Time,GPS START,Link,Hours,Biome,Region
"Chatelherault Country Park, near Hamilton",2,7.5km,2.5 - 3 hours,"55.76180,-4.01460",https://www.walkhighlands.co.uk/glasgow/chatelherault.shtml,3,Heritage,"Glasgow, Ayrshire and Lanark walks"
The Complete Falls of Clyde circuit,2,10.25km,2.5 - 3.5 hours,"55.66400,-3.77800",https://www.walkhighlands.co.uk/glasgow/complete-falls-clyde.shtml,3.5,River,"Glasgow, Ayrshire and Lanark walks"
Tinto from the north,3,7km,2 - 2.5 hours,"55.61970,-3.64550",https://www.walkhighlands.co.uk/glasgow/tinto.shtml,2.5,Mountain,"Glasgow, Ayrshire and Lanark walks"
Tinto from Wiston Lodge,4,6km,2.5 - 3.5 hours,"55.57230,-3.65650",https://www.walkhighlands.co.uk/glasgow/tinto-wiston.shtml,3.5,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Culter Fell circular, near Biggar",4,18.5km,5 - 6.5 hours,"55.56340,-3.53780",https://www.walkhighlands.co.uk/glasgow/culter-fell.shtml,6.5,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Calton Hill, Edinburgh",1,1.75km,1 - 1.5 hours,"55.95300,-3.19010",https://www.walkhighlands.co.uk/lothian/calton-hill.shtml,1.5,Heritage,Edinburgh and Lothian
"The Port of Leith, Edinburgh",1,3km,1 hour,"55.98160,-3.17568",https://www.walkhighlands.co.uk/lothian/port-of-leith.shtml,1,Coastal,Edinburgh and Lothian
"Old Town, Edinburgh",1,3.5km,1 - 1.5 hours,"55.95190,-3.19170",https://www.walkhighlands.co.uk/lothian/old-town.shtml,1.5,Heritage,Edinburgh and Lothian
"New Town, Edinburgh",1,3.5km,1 - 1.5 hours,"55.95300,-3.19010",https://www.walkhighlands.co.uk/lothian/new-town.shtml,1.5,Heritage,Edinburgh and Lothian
Hermitage of Braid and Blackford Hill,1,4.25km,1.5 hours,"55.91940,-3.21030",https://www.walkhighlands.co.uk/lothian/blackford-hill.shtml,1.5,Mountain,Edinburgh and Lothian
"Braid Hills, Edinburgh",1,4.5km,1.5 hours,"55.91540,-3.20450",https://www.walkhighlands.co.uk/lothian/braid-hills.shtml,1.5,Mountain,Edinburgh and Lothian
Craiglockhart Hills,1,4.5km,1.5 - 2 hours,"55.92530,-3.23416",https://www.walkhighlands.co.uk/lothian/craiglockhart.shtml,2,Mountain,Edinburgh and Lothian
Corstorphine Hill,1,4.5km,1 - 1.5 hours,"55.96250,-3.27800",https://www.walkhighlands.co.uk/lothian/corstorphine-hill.shtml,1.5,Forest,Edinburgh and Lothian
Dean Village and the Galleries of Modern Art,1,4.5km,1 - 1.5 hours,"55.95800,-3.20859",https://www.walkhighlands.co.uk/lothian/dean-village.shtml,1.5,Heritage,Edinburgh and Lothian
"Colinton and Craiglockhart Dells, Slateford",1,5km,1.5 hours,"55.92340,-3.24800",https://www.walkhighlands.co.uk/lothian/colinton-dell.shtml,1.5,River,Edinburgh and Lothian
Stockbridge and the Royal Botanic Garden Edinburgh,1,7.5km,2.5 - 3 hours,"55.95150,-3.19116",https://www.walkhighlands.co.uk/lothian/stockbridge-botanic-gardens.shtml,3,Forest,Edinburgh and Lothian
Water of Leith: Balerno to Slateford,1,8.3km,2 - 2.5 hours,"55.88770,-3.33900",https://www.walkhighlands.co.uk/lothian/water-of-leith-1.shtml,2.5,River,Edinburgh and Lothian
"Cammo Estate and River Almond walk, Cramond Brig",1,8.5km,2 - 2.5 hours,"55.96570,-3.31800",https://www.walkhighlands.co.uk/lothian/cammo-almond.shtml,2.5,River,Edinburgh and Lothian
"Cramond Island and Cramond Brig, Cramond",1,8.75km,2 - 3 hours,"55.97540,-3.29920",https://www.walkhighlands.co.uk/lothian/cramond-island.shtml,3,Coastal,Edinburgh and Lothian
Water of Leith: Slateford to Leith,1,12.2km,3 - 4 hours,"55.92340,-3.24800",https://www.walkhighlands.co.uk/lothian/water-of-leith-2.shtml,4,River,Edinburgh and Lothian
"Arthur's Seat and Holyrood Park, Edinburgh",2,4.75km,2 - 2.5 hours,"55.95130,-3.17050",https://www.walkhighlands.co.uk/lothian/arthurs-seat.shtml,2.5,Mountain,Edinburgh and Lothian
"Traprain Law, near Haddington",1,3.2km,1 - 1.5 hours,"55.96580,-2.67160",https://www.walkhighlands.co.uk/lothian/traprain-law.shtml,1.5,Mountain,Edinburgh and Lothian
Haddington and the River Tyne,1,3.5km,1 hour,"55.95550,-2.77785",https://www.walkhighlands.co.uk/lothian/haddington.shtml,1,Heritage,Edinburgh and Lothian
"Pressmennan Wood, near Stenton",1,4.5km,1.5 hours,"55.94440,-2.60940",https://www.walkhighlands.co.uk/lothian/pressmennan-wood.shtml,1.5,Forest,Edinburgh and Lothian
Ravensheugh Sands,1,5.25km,1.5 - 2 hours,"56.01940,-2.60120",https://www.walkhighlands.co.uk/lothian/baldreds-cradle.shtml,2,Coastal,Edinburgh and Lothian
Hailes Castle from East Linton,1,5.5km,1.5 hours,"55.98670,-2.65630",https://www.walkhighlands.co.uk/lothian/hailes-castle.shtml,1.5,Heritage,Edinburgh and Lothian
"Dunbar cliff top trail, Dunbar",1,5.75km,1.5 hours,"56.00440,-2.51690",https://www.walkhighlands.co.uk/lothian/dunbar-clifftop.shtml,1.5,Coastal,Edinburgh and Lothian
"Belhaven Bay, near Dunbar",1,6km,1.5 - 2 hours,"56.00050,-2.56100",https://www.walkhighlands.co.uk/lothian/belhaven-bay.shtml,2,Coastal,Edinburgh and Lothian
"Athelstaneford and the Garleton Hills, Athelstaneford",1,6.25km,1.5 - 2 hours,"55.98660,-2.74684",https://www.walkhighlands.co.uk/lothian/garleton-hills.shtml,2,Mountain,Edinburgh and Lothian
Musselburgh and the Firth,1,6.5km,1.5 - 2 hours,"55.94310,-3.04860",https://www.walkhighlands.co.uk/lothian/musselburgh.shtml,2,Coastal,Edinburgh and Lothian
"Yellowcraig Beach circuit, from Dirleton",1,7.85km,2 - 2.5 hours,"56.04530,-2.78090",https://www.walkhighlands.co.uk/lothian/dirleton-fidra.shtml,2.5,Coastal,Edinburgh and Lothian
Aberlady Bay and Gullane Point,1,9km,2.5 - 3.5 hours,"56.01440,-2.84950",https://www.walkhighlands.co.uk/lothian/aberlady-gullane.shtml,3.5,Coastal,Edinburgh and Lothian
Gullane Bay & Hanging Rocks Caves,1,9.75km,3 - 3.5 hours,"56.03820,-2.84140",https://www.walkhighlands.co.uk/lothian/gullane-bay.shtml,3.5,Coastal,Edinburgh and Lothian
River Tyne: Haddington to East Linton,1,10.25km,3 - 3.5 hours,"55.95560,-2.77910",https://www.walkhighlands.co.uk/lothian/haddington-east-linton.shtml,3.5,River,Edinburgh and Lothian
John Muir Link - Dunbar to Cockburnspath,1,16.5km,4.5 - 5 hours,"56.00530,-2.51600",https://www.walkhighlands.co.uk/lothian/dunbar-dunglass.shtml,5,Coastal,Edinburgh and Lothian
"North Berwick Law, North Berwick",2,6.75km,2 - 2.5 hours,"56.04900,-2.71900",https://www.walkhighlands.co.uk/lothian/north-berwick-law.shtml,2.5,Mountain,Edinburgh and Lothian
Gamelshiel Castle and Spartleton Hill,2,7km,2.5 - 3 hours,"55.86970,-2.56688",https://www.walkhighlands.co.uk/lothian/spartleton.shtml,3,Mountain,Edinburgh and Lothian
Meikle Says Law,2,10km,3 - 4 hours,"55.86460,-2.62030",https://www.walkhighlands.co.uk/lothian/meikle-says-law.shtml,4,Mountain,Edinburgh and Lothian
Priestlaw Hill circular from Whiteadder Reservoir,2,11km,3 - 4 hours,"55.87020,-2.57167",https://www.walkhighlands.co.uk/lothian/priestlaw-hill.shtml,4,Mountain,Edinburgh and Lothian
Lammer Law and Hopes Reservoir,2,14.5km,4.5 - 5 hours,"55.86950,-2.73385",https://www.walkhighlands.co.uk/lothian/lammer-law.shtml,5,Mountain,Edinburgh and Lothian
"Herring Road and Clints Dod, near Stenton",2,19km,5.5 hours,"55.94450,-2.60900",https://www.walkhighlands.co.uk/lothian/herring-road.shtml,5.5,Heritage,Edinburgh and Lothian
Linlithgow Loch and Palace,1,3.5km,1 hour,"55.97700,-3.60730",https://www.walkhighlands.co.uk/lothian/linlithgow.shtml,1,Heritage,Edinburgh and Lothian
"Calderwood, near Livingston",1,4.25km,1 - 1.5 hours,"55.89460,-3.47770",https://www.walkhighlands.co.uk/lothian/calderwood.shtml,1.5,Forest,Edinburgh and Lothian
Harlaw and Threipmuir Reservoirs,1,4.25km,1 hour,"55.87550,-3.31010",https://www.walkhighlands.co.uk/lothian/harlaw-threipmuir.shtml,1,Wetland,Edinburgh and Lothian
"The Forth Bridges, Queensferry",1,5.5km,1.5 hours,"55.98640,-3.38214",https://www.walkhighlands.co.uk/lothian/forth-bridges.shtml,1.5,Heritage,Edinburgh and Lothian
"Glencorse View and Castlelaw, Flotterstone",1,5.75km,1.5 hours,"55.85500,-3.22690",https://www.walkhighlands.co.uk/lothian/glencorse.shtml,1.5,Wetland,Edinburgh and Lothian
Dalkeith Country Park circuit,1,6.25km,1.5 - 2 hours,"55.90260,-3.06096",https://www.walkhighlands.co.uk/lothian/dalkeith-park.shtml,2,Forest,Edinburgh and Lothian
"Beecraigs and Cockleroy, near Linlithgow",1,6.75km,2 - 2.5 hours,"55.95490,-3.59470",https://www.walkhighlands.co.uk/lothian/beecraigs-cockleroy.shtml,2.5,Forest,Edinburgh and Lothian
Gladhouse Reservoir circuit,1,7.5km,2 hours,"55.76350,-3.13040",https://www.walkhighlands.co.uk/lothian/gladhouse-reservoir.shtml,2,Wetland,Edinburgh and Lothian
Dalmeny Estate: Queensferry to Cramond Brig,1,10.5km,2.5 - 3 hours,"55.98660,-3.38216",https://www.walkhighlands.co.uk/lothian/dalmeny-estate.shtml,3,Coastal,Edinburgh and Lothian
Capital View walk and Swanston,2,4km,1.5 - 2 hours,"55.89000,-3.20120",https://www.walkhighlands.co.uk/lothian/capital-view.shtml,2,Mountain,Edinburgh and Lothian
"Roslin Glen and Rosslyn Chapel, Roslin",2,4.25km,1.5 - 2 hours,"55.85580,-3.16120",https://www.walkhighlands.co.uk/lothian/roslin-glen.shtml,2,River,Edinburgh and Lothian
"Monks Rigg and Braid Law, Nine Mile Burn",2,6.5km,2.5 - 3 hours,"55.80570,-3.31450",https://www.walkhighlands.co.uk/lothian/monks-rigg.shtml,3,Mountain,Edinburgh and Lothian
"Almondell and Lin's Mill Aqueduct, near Livingston",2,10.5km,2.5 - 3.5 hours,"55.89460,-3.47770",https://www.walkhighlands.co.uk/lothian/almondell.shtml,3.5,River,Edinburgh and Lothian
Gorebridge and Temple circuit,2,13.75km,3.5 - 4 hours,"55.84620,-3.04955",https://www.walkhighlands.co.uk/lothian/gorebridge-temple.shtml,4,Heritage,Edinburgh and Lothian
Allermuir Hill and Swanston,3,6km,2.5 - 3.5 hours,"55.89000,-3.20120",https://www.walkhighlands.co.uk/lothian/allermuir-hill.shtml,3.5,Mountain,Edinburgh and Lothian
"West Kip, East Kip and Scald Law from Threipmuir",3,11.75km,4.5 - 5.5 hours,"55.86090,-3.33280",https://www.walkhighlands.co.uk/lothian/west-kip.shtml,5.5,Mountain,Edinburgh and Lothian
"Scald Law and Carnethy Hill, Flotterstone",3,12.25km,4.5 - 5.5 hours,"55.85500,-3.22690",https://www.walkhighlands.co.uk/lothian/scald-law.shtml,5.5,Mountain,Edinburgh and Lothian
"East Cairn Hill and Mount Maw circuit, West Linton",3,13.75km,4.5 - 5.5 hours,"55.77620,-3.39350",https://www.walkhighlands.co.uk/lothian/east-cairn-hill.shtml,5.5,Mountain,Edinburgh and Lothian
Blackhope Scar and the Moorfoots,4,17.75km,5 - 6 hours,"55.76350,-3.13040",https://www.walkhighlands.co.uk/lothian/blackhope-scar.shtml,6,Mountain,Edinburgh and Lothian
Dunskey Castle from Portpatrick,1,2km,1 hour,"54.83900,-5.11630",https://www.walkhighlands.co.uk/galloway/dunskey-castle.shtml,1,Heritage,Dumfries and Galloway walks
"Monreith Estate, near Port William",1,2.5km,1 hour,"54.75510,-4.55610",https://www.walkhighlands.co.uk/galloway/monreith-estate.shtml,1,Forest,Dumfries and Galloway walks
Ardwell Pond walk,1,2.5km,1 hour,"54.76730,-4.93990",https://www.walkhighlands.co.uk/galloway/ardwell-pond.shtml,1,Wetland,Dumfries and Galloway walks
"Riverside Walk, Newton Stewart",1,2.6km,45 min - 1 hour,"54.95680,-4.48100",https://www.walkhighlands.co.uk/galloway/newton-stewart-riverside.shtml,1,River,Dumfries and Galloway walks
Ardwell Bay and Doon broch,1,3km,1 hour,"54.76210,-4.99920",https://www.walkhighlands.co.uk/galloway/ardwell-bay.shtml,1,Coastal,Dumfries and Galloway walks
"Aldouran Glen, Leswalt",1,3km,1 hour,"54.93060,-5.09480",https://www.walkhighlands.co.uk/galloway/aldouran-glen.shtml,1,Forest,Dumfries and Galloway walks
"St Ninian's Cave from Kisdale, near Whithorn",1,3.25km,1 hour,"54.70040,-4.43580",https://www.walkhighlands.co.uk/galloway/st-ninians-cave.shtml,1,Coastal,Dumfries and Galloway walks
"Wig Sands, near Kirkcolm",1,3.25km,1 hour,"54.96480,-5.07490",https://www.walkhighlands.co.uk/galloway/wig-sands.shtml,1,Coastal,Dumfries and Galloway walks
"Garnets Walk, Port William",1,3.75km,1 hour,"54.75980,-4.58390",https://www.walkhighlands.co.uk/galloway/port-william.shtml,1,Coastal,Dumfries and Galloway walks
"Wood of Cree, near Newton Stewart",1,3.75km,1 - 1.5 hours,"55.00560,-4.53280",https://www.walkhighlands.co.uk/galloway/wood-of-cree.shtml,1.5,Forest,Dumfries and Galloway walks
"Knockman Wood, Newton Stewart",1,4.5km,1 - 1.5 hours,"54.97580,-4.48760",https://www.walkhighlands.co.uk/galloway/knockman-wood.shtml,1.5,Forest,Dumfries and Galloway walks
"Dunskey Glen, near Portpatrick",1,4.75km,1.5 hours,"54.85280,-5.10810",https://www.walkhighlands.co.uk/galloway/dunskey-glen.shtml,1.5,Forest,Dumfries and Galloway walks
"Balloch Wood, Creetown",1,5km,1 hour,"54.90170,-4.37920",https://www.walkhighlands.co.uk/galloway/creetown-balloch-wood.shtml,1,Forest,Dumfries and Galloway walks
"Kirroughtree Forest walks, near Newton Stewart",1,5.25km,1.5 - 2 hours,"54.95550,-4.42097",https://www.walkhighlands.co.uk/galloway/kirroughtree-forest.shtml,2,Forest,Dumfries and Galloway walks
"Torrs Warren, near Dunragit",1,6.25km,2 hours,"54.86670,-4.89380",https://www.walkhighlands.co.uk/galloway/torrs-warren.shtml,2,Coastal,Dumfries and Galloway walks
Wigtown explorer,1,8.5km,2 hours,"54.86850,-4.44270",https://www.walkhighlands.co.uk/galloway/wigtown.shtml,2,Wetland,Dumfries and Galloway walks
"Drummore and Castle Clanyard, Drummore",1,9km,2.5 - 3 hours,"54.68960,-4.89490",https://www.walkhighlands.co.uk/galloway/drummore.shtml,3,Coastal,Dumfries and Galloway walks
"Rigg Bay and Cruggleton Castle, from Garlieston",1,10.25km,2.5 - 3 hours,"54.78810,-4.36840",https://www.walkhighlands.co.uk/galloway/cruggleton-castle.shtml,3,Heritage,Dumfries and Galloway walks
"Murray's Monument, near Newton Stewart",2,3km,1 hour,"55.02000,-4.36220",https://www.walkhighlands.co.uk/galloway/murray-monument.shtml,1,Heritage,Dumfries and Galloway walks
"Salt Pans Bay from Galdenoch Castle, near Leswalt",2,4.6km,1.5 hours,"54.92240,-5.16380",https://www.walkhighlands.co.uk/galloway/salt-pans-bay.shtml,1.5,Coastal,Dumfries and Galloway walks
St Ninian's Cave from Burrowhead,2,7.25km,2 - 3 hours,"54.68310,-4.40470",https://www.walkhighlands.co.uk/galloway/burrowhead-st-ninians.shtml,3,Coastal,Dumfries and Galloway walks
"Water of Trool, Glen Trool",2,7.5km,2 - 2.5 hours,"55.07480,-4.55200",https://www.walkhighlands.co.uk/galloway/martyrs-glen-trool.shtml,2.5,Forest,Dumfries and Galloway walks
"Stairhaven Coastal Circuit, Stairhaven",2,8.5km,2.5 - 3 hours,"54.84620,-4.79170",https://www.walkhighlands.co.uk/galloway/stairhaven.shtml,3,Coastal,Dumfries and Galloway walks
"Burrow Head Coastal Circuit, Isle of Whithorn",2,8.75km,2.5 - 3 hours,"54.70090,-4.36470",https://www.walkhighlands.co.uk/galloway/burrow-head.shtml,3,Coastal,Dumfries and Galloway walks
"Loch Trool trail, Glen Trool",2,9km,2.5 - 3 hours,"55.08010,-4.51240",https://www.walkhighlands.co.uk/galloway/loch-trool.shtml,3,Wetland,Dumfries and Galloway walks
New Luce and the Caves of Kilhern,2,9km,2 - 3 hours,"54.94230,-4.85080",https://www.walkhighlands.co.uk/galloway/new-luce.shtml,3,Heritage,Dumfries and Galloway walks
"Killantringan Lighthouse circuit, Portpatrick",2,10km,3 - 4.5 hours,"54.84270,-5.11980",https://www.walkhighlands.co.uk/galloway/killantringan-lighthouse.shtml,4.5,Coastal,Dumfries and Galloway walks
Mull of Galloway,2,10.5km,3.5 - 4.5 hours,"54.63540,-4.86000",https://www.walkhighlands.co.uk/galloway/mull-of-galloway.shtml,4.5,Coastal,Dumfries and Galloway walks
"Water of Minnoch circuit, Glen Trool",2,11.25km,3 - 3.5 hours,"55.07480,-4.55200",https://www.walkhighlands.co.uk/galloway/water-of-minnoch.shtml,3.5,River,Dumfries and Galloway walks
Shalloch on Minnoch via the north ridge,3,9.5km,3 - 4 hours,"55.22120,-4.52580",https://www.walkhighlands.co.uk/glasgow/shalloch-on-minnoch.shtml,4,Mountain,Dumfries and Galloway walks
"Cairnsmore of Fleet, near Newton Stewart",3,12.25km,3.5 - 5 hours,"54.93990,-4.39970",https://www.walkhighlands.co.uk/galloway/cairnsmore-of-fleet.shtml,5,Mountain,Dumfries and Galloway walks
"The Merrick, from Loch Trool",3,13.25km,4 - 5 hours,"55.09220,-4.48610",https://www.walkhighlands.co.uk/galloway/merrick.shtml,5,Mountain,Dumfries and Galloway walks
Millfore from Black Loch,4,11km,4 - 5 hours,"55.02900,-4.34970",https://www.walkhighlands.co.uk/galloway/millfore.shtml,5,Mountain,Dumfries and Galloway walks
"The Merrick via Loch Valley, from Glen Trool",4,15km,5 - 6 hours,"55.09220,-4.48610",https://www.walkhighlands.co.uk/galloway/merrick-loch-valley.shtml,6,Mountain,Dumfries and Galloway walks
"Curleywee and Lamachan Hill, Glen Trool",4,17km,6.5 - 7.5 hours,"55.09300,-4.48392",https://www.walkhighlands.co.uk/galloway/lamachan-hill.shtml,7.5,Mountain,Dumfries and Galloway walks
"Garries Wood, Gatehouse of Fleet",1,2.25km,1 hour,"54.88110,-4.18510",https://www.walkhighlands.co.uk/galloway/garries-wood.shtml,1,Forest,Dumfries and Galloway walks
"Threave Castle circuit, nr Castle Douglas",1,2.5km,1 hour,"54.93370,-3.95890",https://www.walkhighlands.co.uk/galloway/threave-castle.shtml,1,Heritage,Dumfries and Galloway walks
"Clints of Dromore In-Bye, Fleet Valley",1,3km,1 hour,"54.94770,-4.25830",https://www.walkhighlands.co.uk/galloway/dromore-inbye.shtml,1,Forest,Dumfries and Galloway walks
"Mossdale Red Kite circuit, Mossdale",1,4km,1 hour,"55.01120,-4.09540",https://www.walkhighlands.co.uk/galloway/mossdale.shtml,1,Forest,Dumfries and Galloway walks
Kippford and Rockcliffe circular,1,5.5km,2 hours,"54.87980,-3.81410",https://www.walkhighlands.co.uk/galloway/kippford-rockcliffe.shtml,2,Coastal,Dumfries and Galloway walks
"Cally Woods circuit, Gatehouse of Fleet",1,5.5km,1.5 - 2 hours,"54.88010,-4.17450",https://www.walkhighlands.co.uk/galloway/cally-woods.shtml,2,Forest,Dumfries and Galloway walks
"Lamb Island and Threave Estate, Castle Douglas",1,5.5km,1.5 hours,"54.93370,-3.95890",https://www.walkhighlands.co.uk/galloway/threave-estate.shtml,1.5,Heritage,Dumfries and Galloway walks
"Carlingwark Loch, Castle Douglas",1,5.75km,1.5 hours,"54.93520,-3.92530",https://www.walkhighlands.co.uk/galloway/carlingwark-loch.shtml,1.5,Wetland,Dumfries and Galloway walks
"Torr Point and Red Haven, Auchencairn",1,7km,2 - 3 hours,"54.84430,-3.87000",https://www.walkhighlands.co.uk/galloway/torr-point.shtml,3,Coastal,Dumfries and Galloway walks
"Dundeugh Forest, near Dalry",1,7km,1.5 - 2 hours,"55.16900,-4.20200",https://www.walkhighlands.co.uk/galloway/dundeugh.shtml,2,Forest,Dumfries and Galloway walks
"River Dee walk, Kirkcudbright",1,7.5km,2 - 2.5 hours,"54.83730,-4.05100",https://www.walkhighlands.co.uk/galloway/river-dee-kirkcudbright.shtml,2.5,River,Dumfries and Galloway walks
Clatteringshaws Loch and Benniguinea,1,8km,2 hours,"55.05980,-4.27020",https://www.walkhighlands.co.uk/galloway/clatteringshaws.shtml,2,Wetland,Dumfries and Galloway walks
Kirkcudbright Explorer,1,9.5km,2 - 2.5 hours,"54.83730,-4.05100",https://www.walkhighlands.co.uk/galloway/kirkcudbright.shtml,2.5,Heritage,Dumfries and Galloway walks
"Sandgreen circular, Gatehouse of Fleet",1,12.5km,3 - 4 hours,"54.88010,-4.17450",https://www.walkhighlands.co.uk/galloway/sandgreen.shtml,4,Coastal,Dumfries and Galloway walks
"Screel Hill, near Palnackie",2,5km,2 hours,"54.87740,-3.89860",https://www.walkhighlands.co.uk/galloway/screel-hill.shtml,2,Mountain,Dumfries and Galloway walks
"Watson Bird Walk, St John's Town of Dalry",2,5km,1.5 - 2 hours,"55.10620,-4.16371",https://www.walkhighlands.co.uk/galloway/watson-dalry.shtml,2,Heritage,Dumfries and Galloway walks
"Rutherford Monument walk, Gatehouse of Fleet",2,6km,2 - 2.5 hours,"54.88110,-4.18510",https://www.walkhighlands.co.uk/galloway/rutherford-monument.shtml,2.5,Heritage,Dumfries and Galloway walks
Brighouse Bay circuit,2,7.25km,2 - 3 hours,"54.78830,-4.12520",https://www.walkhighlands.co.uk/galloway/brighouse-bay.shtml,3,Coastal,Dumfries and Galloway walks
Rockcliffe to Sandyhills,2,7.25km,2 - 3.5 hours,"54.86370,-3.79180",https://www.walkhighlands.co.uk/galloway/rockcliffe-sandyhills.shtml,3.5,Coastal,Dumfries and Galloway walks
"Balcary Bay and Rascarrel, near Auchencairn",2,7.5km,2 - 3 hours,"54.82650,-3.83740",https://www.walkhighlands.co.uk/galloway/balcary-bay.shtml,3,Coastal,Dumfries and Galloway walks
"Mountain End trail, Clints of Dromore, Fleet Valley",3,6.5km,2.5 - 3.5 hours,"54.94770,-4.25830",https://www.walkhighlands.co.uk/galloway/clints-of-dromore-outbye.shtml,3.5,Mountain,Dumfries and Galloway walks
Cairnsmore of Carsphairn,3,11.5km,3 - 5 hours,"55.22290,-4.26960",https://www.walkhighlands.co.uk/galloway/cairnsmore-of-carsphairn.shtml,5,Mountain,Dumfries and Galloway walks
"Corserine and the Rhinns of Kells, Forrest Lodge",4,16.5km,5 - 7 hours,"55.14940,-4.27250",https://www.walkhighlands.co.uk/galloway/corserine.shtml,7,Mountain,Dumfries and Galloway walks
Caerlaverock Castle and Nature Reserve,1,3km,1 hour,"54.97210,-3.53430",https://www.walkhighlands.co.uk/galloway/caerlaverock-castle.shtml,1,Heritage,Dumfries and Galloway walks
